Company Website URL,Phase ID,Phase Number,Prompt Type,Status,Description,Tags,Last Updated,Dependencies,Google Drive File,Prompt Text,Grok X/Twitter Viral Search,LinkedIn URL,URL
1. Business Intelligence System Prompt,Phase 1S,Phase 1,System Prompt,Not Started,Role,Role Setup,"June 9, 2025","Client Form (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Client%20Form%2020d07fa9108b80b5b407cad9413fdad4.csv), Foundational Business Intelligence (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Foundational%20Business%20Intelligence%2020d07fa9108b801b8b3ce3f14b7f94d7.csv)",,,,,
Foundational Business Intelligence,Phase 1A,Phase 1,User Prompt,Not Started,Gathers core business intelligence data to establish baseline understanding,"Analysis, Data Collection","June 9, 2025","1. Business Intelligence System Prompt (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/1%20Business%20Intelligence%20System%20Prompt%2020d07fa9108b80b3a33ac312eb273d6b.csv), DNA Research & ICP Discovery (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/DNA%20Research%20&%20ICP%20Discovery%2020d07fa9108b80939aecc73ffecdeae2.csv)",,,,,
"#Response Foundational Business Intelligence ",Phase 1A-bis,Phase 1,Example Response,Not Started,Gathers core business intelligence data to establish baseline understanding,Sample Data,"June 9, 2025",,,,,,
DNA Research & ICP Discovery,Phase 1B,Phase 1,User Prompt,Not Started,Researches company DNA and identifies ideal customer profiles,"Analysis, Data Collection","June 9, 2025","Foundational Business Intelligence (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Foundational%20Business%20Intelligence%2020d07fa9108b801b8b3ce3f14b7f94d7.csv), Key Person of Influence Assessment (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Key%20Person%20of%20Influence%20Assessment%2020d07fa9108b80398a5cee30ffe42d08.csv)",,,,,
"#Response DNA Research & ICP Discovery ",Phase 1B-bis,Phase 1,Example Response,Not Started,Researches company DNA and identifies ideal customer profiles,Sample Data,"June 9, 2025",,,,,,
Key Person of Influence Assessment,Phase 1C,Phase 1,User Prompt,Not Started,Analyzes key influencers and decision makers within target market,"Analysis, Strategy","June 9, 2025","DNA Research & ICP Discovery (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/DNA%20Research%20&%20ICP%20Discovery%2020d07fa9108b80939aecc73ffecdeae2.csv), Competitive Intelligence (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Competitive%20Intelligence%2020d07fa9108b8016bb9af457d75c2fd5.csv)",,,,,
#Response Key Person of Influence Assessment,Phase 1C-bis,Phase 1,Example Response,Not Started,Analyzes key influencers and decision makers within target market,Sample Data,"June 9, 2025",,,,,,
Competitive Intelligence,Phase 1D,Phase 1,User Prompt,Not Started,Analyzes competitors to identify market positioning opportunities,"Analysis, Data Collection","June 9, 2025","Key Person of Influence Assessment (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Key%20Person%20of%20Influence%20Assessment%2020d07fa9108b80398a5cee30ffe42d08.csv), Business Intelligence Archive for Master Content Bible (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Business%20Intelligence%20Archive%20for%20Master%20Content%20B%2020d07fa9108b8079bcb1e5f3d25310a0.csv)",,,,,
"#Response Competitive Intelligence ",Phase 1D-bis,Phase 1,Example Response,Not Started,Analyzes competitors to identify market positioning opportunities,"Analysis, Data Collection","June 9, 2025",,,,,,
Business Intelligence Archive for Master Content Bible,Phase 1EB,Phase 1,User Prompt,Not Started,Archive phase,"Archive, Export","June 9, 2025","Competitive Intelligence (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Competitive%20Intelligence%2020d07fa9108b8016bb9af457d75c2fd5.csv), SEO Intelligence Analysis (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/SEO%20Intelligence%20Analysis%2020d07fa9108b8057950dcb0782c1a81a.csv), Golden Hippo Offer Development + 90-Day Strategy (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Golden%20Hippo%20Offer%20Development%20+%2090-Day%20Strategy%2020e07fa9108b8027a2fefb73f03ae4b6.csv)",,,,,
HITL - Business Intelligence Report using Perplexity LABS,Phase 1P.Labs,Phase 1,OUT,,,,,,,,,,
2. SEO and social intelligence analyst System Prompt,Phase 2S,Phase 2,System Prompt,Not Started,Role,Role Setup,,,,,,,
SEO Intelligence Analysis,Phase 2A,Phase 2,User Prompt,Not Started,Analyzes SEO landscape and opportunities for content strategy,"Analysis, Data Collection","June 9, 2025",Business Intelligence Archive for Master Content Bible (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Business%20Intelligence%20Archive%20for%20Master%20Content%20B%2020d07fa9108b8079bcb1e5f3d25310a0.csv),,,,,
#Response SEO Intelligence Analysis,Phase 2A-bis,Phase 2,Example Response,Not Started,Analyzes SEO landscape and opportunities for content strategy,Sample Data,"June 9, 2025",,,,,,
Social Intelligence Analysis,Phase 2B,Phase 2,User Prompt,Not Started,Examines social media trends and engagement patterns,"Analysis, Data Collection","June 9, 2025","Social Intelligence Analysis (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Social%20Intelligence%20Analysis%2020d07fa9108b80bcb7a1d4ce83753a3b.csv), SEO + Social Intelligence Archive for Master Content Bible (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/SEO%20+%20Social%20Intelligence%20Archive%20for%20Master%20Conte%2020d07fa9108b805ab6fee6ebe826c806.csv)",,,,,
#Response Social Intelligence Analysis,Phase 2B-bis,Phase 2,Example Response,Not Started,Examines social media trends and engagement patterns,Sample Data,"June 9, 2025",,,,,,
SEO + Social Intelligence Archive for Master Content Bible,Phase 2EB,Phase 2,User Prompt,Not Started,Archive phase,"Archive, Export","June 9, 2025","Social Intelligence Analysis (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Social%20Intelligence%20Analysis%2020d07fa9108b80bcb7a1d4ce83753a3b.csv), X.com Trend Data Analysis (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/X%20com%20Trend%20Data%20Analysis%2020d07fa9108b80baba4eee2e276ac85b.csv), Golden Hippo Offer Development + 90-Day Strategy (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Golden%20Hippo%20Offer%20Development%20+%2090-Day%20Strategy%2020e07fa9108b8027a2fefb73f03ae4b6.csv)",,,,,
HITL - SEO & Social Intelligence Report using Perplexity LABS,Phase 2P.Labs,Phase 2,OUT,,,,,,,,,,
3. Strategic synthesis analyst System Prompt,Phase 3S,Phase 3,System Prompt,Not Started,Role,Role Setup,"June 9, 2025",,,,,,
http://x.com/ Trend Data Analysis,Phase 3A,Phase 3,User Prompt,Not Started,"Finds viral posts for that niche and broader to converge later ","Analysis, Data Collection, Synthesis","June 9, 2025","SEO + Social Intelligence Archive for Master Content Bible (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/SEO%20+%20Social%20Intelligence%20Archive%20for%20Master%20Conte%2020d07fa9108b805ab6fee6ebe826c806.csv), Testimonials Analysis with Drama Prioritization (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Testimonials%20Analysis%20with%20Drama%20Prioritization%2020d07fa9108b808a951cf1c42e49ba6e.csv)",,,,,
#Response http://x.com/ Trend Data Analysis,Phase 3A-bis,Phase 3,Example Response,Not Started,"Finds viral posts for that niche and broader to converge later ",Sample Data,"June 9, 2025",,,,,,
Testimonials Analysis with Drama Prioritization,Phase 3B,Phase 3,User Prompt,Not Started,Review treating,"Analysis, Synthesis","June 9, 2025","X.com Trend Data Analysis (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/X%20com%20Trend%20Data%20Analysis%2020d07fa9108b80baba4eee2e276ac85b.csv), Comprehensive Strategic Synthesis (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Comprehensive%20Strategic%20Synthesis%2020d07fa9108b8006bb25d7cc17673092.csv)",,,,,
#Response Testimonials Analysis with Drama Prioritization,Phase 3B-bis,Phase 3,Example Response,Not Started,Review treating,Sample Data,"June 9, 2025",,,,,,
Comprehensive Strategic Synthesis,Phase 3C,Phase 3,User Prompt,Not Started,Strategy,"Strategy, Synthesis","June 9, 2025","Testimonials Analysis with Drama Prioritization (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Testimonials%20Analysis%20with%20Drama%20Prioritization%2020d07fa9108b808a951cf1c42e49ba6e.csv), Advanced Intelligence Synthesis Archive for Master Content Bible (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Advanced%20Intelligence%20Synthesis%20Archive%20for%20Master%2020d07fa9108b8033aa3ac020002208f6.csv)",,,,,
#Response Comprehensive Strategic Synthesis,Phase 3C-bis,Phase 3,Example Response,Not Started,Strategy,Sample Data,"June 9, 2025",,,,,,
Advanced Intelligence Synthesis Archive for Master Content Bible,Phase 3EB,Phase 3,User Prompt,Not Started,Archive phase,"Archive, Export","June 9, 2025","Comprehensive Strategic Synthesis (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Comprehensive%20Strategic%20Synthesis%2020d07fa9108b8006bb25d7cc17673092.csv), Golden Hippo Offer Development + 90-Day Strategy (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Golden%20Hippo%20Offer%20Development%20+%2090-Day%20Strategy%2020e07fa9108b8027a2fefb73f03ae4b6.csv)",,,,,
HITL - Advanced Intelligence Synthesis using Perplexity LABS,Phase 3P.Labs,Phase 3,OUT,,,,,,,,,,
CIA: Notion Database Implementation & Prompt Refinement Protocol,,,ADMIN,,,,,,,,,,
Project Clarity Board,,,ADMIN,,,,,,,,,,
Client Form,,,ADMIN,,"Client must fill in at least the company URL in order to activate the workflow. ",,,1. Business Intelligence System Prompt (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/1%20Business%20Intelligence%20System%20Prompt%2020d07fa9108b80b3a33ac312eb273d6b.csv),,,,,
N8N Automation Workflow,,,ADMIN,,,,,,,,,,
Supercharging CIA Project Waterfall with DataForSEO MCP Integration,,,ADMIN,,,,,,,,,,
Economics,,,ADMIN,,,,,,,,,,
N8N & MCP implementation guide,,,ADMIN,,,,,,,,,,
CIA company Marketing,,,,,,,,,,,,,
"CIA Vibers Marketing ",,,,,,,,,,,,,
6. Content strategy architect System Prompt,Phase 6S,Phase 6,System Prompt,Not Started,Role,Role Setup,"June 9, 2025",,,,,,
Content Strategy Archive for Master Content Bible,Phase 6B,Phase 6,User Prompt,Not Started,Archive phase,"Archive, Export","June 9, 2025",,,,,,
Master Content Bible Export for Stylescape Development,,Phase 6,,,,,,,,,,,
HITL - Business Intelligence Report using Perplexity LABS,Phase 6P.Labs,Phase 6,OUT,,,,,,,,,,
4. Golden Hippo Offer Development System Prompt,Phase 4S,Phase 4 (90 Days),System Prompt,Not Started,"Converging trends, SEO, viral and format styles",Role Setup,"June 10, 2025",,,,,,
Golden Hippo Offer Development + 90-Day Strategy,Phase 4A,Phase 4 (90 Days),User Prompt,Not Started,90-Day marketing offer creation,"Strategy, Synthesis","June 10, 2025","Business Intelligence Archive for Master Content Bible (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Business%20Intelligence%20Archive%20for%20Master%20Content%20B%2020d07fa9108b8079bcb1e5f3d25310a0.csv), SEO + Social Intelligence Archive for Master Content Bible (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/SEO%20+%20Social%20Intelligence%20Archive%20for%20Master%20Conte%2020d07fa9108b805ab6fee6ebe826c806.csv), Advanced Intelligence Synthesis Archive for Master Content Bible (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Advanced%20Intelligence%20Synthesis%20Archive%20for%20Master%2020d07fa9108b8033aa3ac020002208f6.csv), Golden Hippo Offer Archive for Master Content Bible (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Golden%20Hippo%20Offer%20Archive%20for%20Master%20Content%20Bibl%2020d07fa9108b8022ab1ce512a35adeca.csv)",,,,,
#Response Golden Hippo Offer Development + 90-Day Strategy,Phase 4A-bis,Phase 4 (90 Days),Example Response,Not Started,Strategy,Sample Data,"June 9, 2025",,,,,,
Golden Hippo Offer Archive for Master Content Bible,Phase 4B,Phase 4 (90 Days),User Prompt,Not Started,Archive phase,"Archive, Export","June 9, 2025",Golden Hippo Offer Development + 90-Day Strategy (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Golden%20Hippo%20Offer%20Development%20+%2090-Day%20Strategy%2020e07fa9108b8027a2fefb73f03ae4b6.csv),,,,,
HITL - Business Intelligence Report using Perplexity LABS,Phase 4P.Labs,Phase 4 (90 Days),OUT,,,,,,,,,,
5. Convergence Blender System Prompt,Phase 5S,Phase 5 (90-Days),System Prompt,,,,,,,,,,
Silo Convergence Blender (90-Days),Phase 5A,Phase 5 (90-Days),User Prompt,Not Started,"Transform static intelligence and Golden Hippo Offers into dynamic weekly content silos. Capture viral attention, dominate SEO, and move prospects from unaware to solution-aware. Ultimately, drive them to the stable Golden Hippo landing page for conversion.",,,,,,,,
#Response Silo Convergence Builder,Phase 5A-Bis,Phase 5 (90-Days),Example Response,,,,,,,,,,
Silo Convergence Blender (90-Days) Archive for Master Content Bible,Phase 5B,Phase 5 (90-Days),User Prompt,,,,,,,,,,
HITL - Convergence Blender Report using Perplexity LABS,Phase 5P.Labs,Phase 5 (90-Days),OUT,,,,,,,,,,